participant_id	age	sex	hand	weight	height	group	species	bci_experience
sub-1	24	n/a	R	n/a	n/a	able-bodied subjects without any known neuro-muscular or mental disorders	human	n/a
sub-10	37	n/a	R	n/a	n/a	able-bodied subjects without any known neuro-muscular or mental disorders	human	n/a
sub-11	25	n/a	R	n/a	n/a	able-bodied subjects without any known neuro-muscular or mental disorders	human	n/a
sub-2	37	n/a	R	n/a	n/a	able-bodied subjects without any known neuro-muscular or mental disorders	human	n/a
sub-3	39	n/a	R	n/a	n/a	able-bodied subjects without any known neuro-muscular or mental disorders	human	n/a
sub-4	31	n/a	R	n/a	n/a	able-bodied subjects without any known neuro-muscular or mental disorders	human	n/a
sub-5	27	n/a	L	n/a	n/a	able-bodied subjects without any known neuro-muscular or mental disorders	human	n/a
sub-6	28	n/a	R	n/a	n/a	able-bodied subjects without any known neuro-muscular or mental disorders	human	n/a
sub-7	26	n/a	R	n/a	n/a	able-bodied subjects without any known neuro-muscular or mental disorders	human	n/a
sub-8	31	n/a	R	n/a	n/a	able-bodied subjects without any known neuro-muscular or mental disorders	human	n/a
sub-9	29	n/a	R	n/a	n/a	able-bodied subjects without any known neuro-muscular or mental disorders	human	n/a
